Rk_x,player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_y,Player,Tm,2024-2025,2025-2026,2026-2027,2027-2028,2028-2029,2029-2030,Guaranteed
176,De'Anthony Melton,26,GSW,SG,6,2,20.2,3.7,9.0,.407,2.2,5.8,.371,1.5,3.2,.474,.528,0.8,1.3,.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0,10.3,127,De'Anthony Melton,BRK,"$12,822,000",,,,,,"$12,822,000"
183,Ziaire Williams,23,BRK,SF,60,42,24.8,3.4,8.4,.408,1.7,4.9,.338,1.8,3.5,.505,.506,1.6,1.9,.825,1.0,3.6,4.6,1.4,1.0,0.4,1.0,2.4,10.1,223,Ziaire Williams,BRK,"$6,133,005",,,,,,"$6,133,005"
185,Chris Boucher,32,TOR,PF,50,0,17.2,3.6,7.4,.492,1.4,3.9,.363,2.2,3.5,.633,.586,1.4,1.7,.782,1.4,3.1,4.5,0.7,0.5,0.5,0.6,1.4,10.0,156,Chris Boucher,TOR,"$10,810,000",,,,,,"$10,810,000"
186,N'Faly Dante,23,HOU,C,1,0,19.0,4.0,6.0,.667,0.0,0.0,,4.0,6.0,.667,.667,2.0,3.0,.667,4.0,5.0,9.0,1.0,0.0,2.0,1.0,4.0,10.0,,,,,,,,,,
191,Amir Coffey,27,LAC,SG,71,13,24.6,3.4,7.2,.471,1.4,3.5,.409,2.0,3.7,.529,.570,1.6,1.8,.891,0.5,1.8,2.3,1.1,0.6,0.1,0.6,1.7,9.8,277,Amir Coffey,LAC,"$3,938,271",,,,,,"$3,938,271"
199,Nickeil Alexander-Walker,26,MIN,SG,76,10,25.3,3.3,7.6,.439,1.8,4.5,.390,1.6,3.1,.513,.556,1.1,1.4,.777,0.6,2.6,3.2,2.6,0.6,0.4,1.2,1.7,9.5,263,Nickeil Alexander-Walker,MIN,"$4,312,500",,,,,,"$4,312,500"
200,Trendon Watford,24,BRK,PF,38,0,19.9,3.5,7.7,.457,0.7,2.1,.316,2.8,5.6,.509,.500,1.8,2.4,.753,0.7,2.6,3.3,2.4,0.7,0.3,1.8,2.1,9.5,320,Trendon Watford,BRK,"$2,726,603",,,,,,"$2,726,603"
209,Tosan Evbuomwan,23,BRK,SF,22,0,23.5,3.3,7.6,.431,0.8,2.6,.298,2.5,5.0,.500,.482,1.9,2.5,.745,1.2,2.8,4.0,1.6,0.7,0.3,1.4,1.8,9.2,,,,,,,,,,
212,Lonnie Walker IV,26,PHI,SG,14,3,20.9,3.4,8.6,.397,1.6,5.0,.329,1.8,3.6,.490,.492,0.7,0.9,.833,0.3,2.9,3.1,2.4,0.5,0.2,1.1,1.0,9.2,,,,,,,,,,
215,Dante Exum,29,DAL,PG,18,12,19.1,3.3,6.9,.480,1.2,2.6,.447,2.2,4.3,.500,.564,1.3,1.7,.742,0.2,1.4,1.7,2.8,0.7,0.2,1.1,1.7,9.1,298,Dante Exum,DAL,"$3,150,000",,,,,,"$3,150,000"
217,Luke Kennard,28,MEM,SG,61,11,22.7,3.3,6.8,.482,1.8,4.1,.440,1.5,2.7,.546,.615,0.8,0.9,.891,0.6,2.1,2.7,3.4,0.8,0.1,1.1,0.9,9.1,173,Luke Kennard,MEM,"$9,250,000",,,,,,"$9,250,000"
221,Killian Hayes,23,BRK,PG,6,5,27.0,3.0,7.2,.419,1.3,3.5,.381,1.7,3.7,.455,.512,1.7,2.0,.833,0.8,2.2,3.0,5.2,0.7,0.7,1.5,2.2,9.0,,,,,,,,,,
